audio,num,label
sample-000000.wav,102188,without the dataset the article is useless
sample-000001.wav,61484,i've got to go to him
sample-000002.wav,61484,and you know it
sample-000003.wav,245804,down below in the darkness were hundreds of people sleeping in peace
sample-000004.wav,185132,hold your nose to keep the smell from disabling your motor functions
sample-000005.wav,148268,down below in the darkness were hundreds of people sleeping in peace
sample-000006.wav,149036,strange images passed through my mind
sample-000007.wav,82988,the sheep had taught him that
sample-000008.wav,199724,this was the strangest of all things that ever came to earth from outer space
sample-000009.wav,141356,it was glaringly hot not a cloud in the sky nor a breath of wind
sample-000010.wav,152876,your son went to serve at a distant place and became a centurion
sample-000011.wav,138284,they made the boy continue digging but he found nothing
sample-000012.wav,196652,one can imagine these two covered with sand running up the little street in the bright sunlight
sample-000013.wav,102956,the shower's in there
sample-000014.wav,73004,follow the instructions here
sample-000015.wav,145964,they're calling to us not to give up and to keep on fighting
sample-000016.wav,89900,the shop is closed on mondays
sample-000017.wav,144428,even coming down on the train together she wrote me
sample-000018.wav,96812,i'm going away he said
sample-000019.wav,163628,it must have fallen while i was sitting over there
sample-000020.wav,179756,i'm going into the desert the man answered turning back to his reading
sample-000021.wav,77612,he wasn't asking for help
sample-000022.wav,129068,some of the grey ash was falling off the circular edge
sample-000023.wav,188972,everyone when they are young knows what their destiny is
sample-000024.wav,59948,i'd like to think
sample-000025.wav,121388,the alchemist probably already knew all that
sample-000026.wav,116780,you'll take fifty and like it
sample-000027.wav,149036,it was dropping off in flakes and raining down on the sand
sample-000028.wav,121388,what's your name he asked
sample-000029.wav,92204,it's because you were not born
sample-000030.wav,85292,what do you think of that
sample-000031.wav,131372,if i had told you you wouldn't have seen the pyramids
sample-000032.wav,132908,i haven't heard the baby complain yet
sample-000033.wav,152108,i told him we could teach her to ignore people who waste her time
sample-000034.wav,79148,the one you're blocking
sample-000035.wav,103724,henderson stood up with a spade in his hand
sample-000036.wav,110636,he didn't need to seek out the old woman for this
sample-000037.wav,130604,only a minority of literature is written this way
sample-000038.wav,63788,i wish you wouldn't
sample-000039.wav,240428,nature knows me as the wisest being in creation the sun said
sample-000040.wav,192044,there is only one way to learn the alchemist answered
sample-000041.wav,82988,don't do it for me
sample-000042.wav,87596,i'm not working for any other paper
sample-000043.wav,73772,that's not so bad
sample-000044.wav,177452,i have the diet of a kid who found twenty dollars
sample-000045.wav,119852,i have the money i need to buy my sheep
sample-000046.wav,96812,the boy looked out at the horizon
sample-000047.wav,75308,never mind about that
sample-000048.wav,160556,that night there was another jetting out of gas from the distant planet
sample-000049.wav,185132,most of them were staring quietly at the big table
sample-000050.wav,131372,i make my living forecasting the future for people he said
sample-000051.wav,125996,now i will drift gently off to dreamland
sample-000052.wav,209708,he did find it soon after dawn and not far from the sand pits
sample-000053.wav,106028,of course the two were unable to do anything
sample-000054.wav,111404,all they think about is food and water
sample-000055.wav,94508,shakespeare never said that
sample-000056.wav,93740,you need to see this
sample-000057.wav,88364,the boy knew a lot of people in the city
sample-000058.wav,140588,frank was dying so they were forced to leave him
sample-000059.wav,57644,this is no place for you
sample-000060.wav,169772,the boy reminded the old man that he had said something about hidden treasure
sample-000061.wav,109868,don't point the gun at me
sample-000062.wav,87596,he's the man the ads are written for
sample-000063.wav,106028,there was no excuse for goodman to fly off the handle
sample-000064.wav,165164,that day the merchant gave the boy permission to build the display
sample-000065.wav,130604,i told you to have the ice box fixed
sample-000066.wav,120620,it's late in the evening a perfect time for coffee
sample-000067.wav,102956,i'm coming fatima he said
sample-000068.wav,66860,don't do it for me
sample-000069.wav,114476,i'm sure i don't know what you're talking about
sample-000070.wav,102188,he felt invisible among all those young people
sample-000071.wav,157484,he thought of all the married shepherds he had known
sample-000072.wav,126764,you mean spies and things like that
sample-000073.wav,199724,but finally the merchant appeared and asked the boy to shear four sheep
sample-000074.wav,75308,i just got rid of one crowd
sample-000075.wav,152108,every search begins with beginner's luck
sample-000076.wav,111404,you can't be the wind the wind said
sample-000077.wav,125228,he had surprised himself with the thought
sample-000078.wav,150572,he was going to miss the place and all the good things he had learned
sample-000079.wav,219692,an huge hole had been made by the impact of the projectile
sample-000080.wav,135212,most meteorites are more or less rounded
sample-000081.wav,176684,it's candice now on long distance from washington
sample-000082.wav,115244,he could always go back to being a shepherd
sample-000083.wav,174380,the boy went to his room and packed his belongings
sample-000084.wav,55340,do you know what
sample-000085.wav,213548,they went in to drink the tea which was served in beautiful crystal glasses
sample-000086.wav,80684,this is for you
sample-000087.wav,117548,they were men of the desert and they were fearful of sorcerers
sample-000088.wav,138284,their faces were hidden behind blue veils with only their eyes showing
sample-000089.wav,101420,it seemed so safe and tranquil
sample-000090.wav,65324,aren't you going to tell me
sample-000091.wav,82988,that's true the boy thought
sample-000092.wav,178220,we're refugees from the tribal wars and we need money the other figure said
sample-000093.wav,169004,during one of these conversations the driver told of his own life
sample-000094.wav,134444,isn't the party also to announce his engagement to joanna
sample-000095.wav,198188,he remembered something his grandfather had once told him that butterflies were a good omen
sample-000096.wav,154412,i heard a faint movement under my feet
sample-000097.wav,161324,he stood irresolute for a moment and then scrambled out of the pit
sample-000098.wav,96044,even then he hardly understood what this meant
sample-000099.wav,92972,it looked like a rusty gas float
